epoch,loss,metric_choose_argument_global_sd_y_train,val_loss,val_metric_choose_argument_global_sd_y_train
0,-0.7921460866928101,0.019987700507044792,-0.8054443001747131,0.04920049384236336
1,-0.8271342515945435,0.07995080202817917,-0.818449854850769,0.07134070992469788
2,-0.8430989384651184,0.15067650377750397,-0.8238152861595154,0.11685116589069366
3,-0.8548279404640198,0.26137760281562805,-0.8279109001159668,0.13899138569831848
4,-0.8639202117919922,0.3530135154724121,-0.8297772407531738,0.20172201097011566
5,-0.8711880445480347,0.45079949498176575,-0.8317233920097351,0.2201721966266632
6,-0.8770840764045715,0.5322878360748291,-0.8316457271575928,0.26076260209083557
7,-0.8817824721336365,0.597478449344635,-0.8309060335159302,0.27798277139663696
8,-0.8858575224876404,0.6623616218566895,-0.8325647115707397,0.3161131739616394
9,-0.8892616629600525,0.707257091999054,-0.8321561813354492,0.3296433091163635
10,-0.8922997713088989,0.7533825635910034,-0.8318184614181519,0.36039361357688904
11,-0.8949610590934753,0.7829028367996216,-0.8319739103317261,0.38007381558418274
12,-0.8972472548484802,0.8151906728744507,-0.8325138092041016,0.3788437843322754
13,-0.8992773294448853,0.8397908806800842,-0.8326228857040405,0.38499385118484497
14,-0.9012378454208374,0.8637761473655701,-0.8318625092506409,0.3923739194869995
15,-0.902762234210968,0.8763837814331055,-0.8337011933326721,0.3960639536380768
16,-0.9044156670570374,0.8920664191246033,-0.8325177431106567,0.4132841229438782
17,-0.9057360887527466,0.900983989238739,-0.8326161503791809,0.4095940887928009
18,-0.907012403011322,0.9148216247558594,-0.8309574127197266,0.4009840190410614
19,-0.908153772354126,0.9191266894340515,-0.8316268920898438,0.4157441556453705
