epoch,loss,metric_choose_argument_global_cla_y_train,val_loss,val_metric_choose_argument_global_cla_y_train
0,-0.7662671804428101,0.007995080202817917,-0.7826411128044128,0.027060270309448242
1,-0.7995260953903198,0.019372694194316864,-0.7980278134346008,0.022140221670269966
2,-0.8145172595977783,0.03198032081127167,-0.8016930222511292,0.046740468591451645
3,-0.8249679803848267,0.05565805733203888,-0.8037870526313782,0.036900367587804794
4,-0.8337024450302124,0.08241082727909088,-0.8028891682624817,0.043050430715084076
5,-0.8403040766716003,0.11838868260383606,-0.8021842837333679,0.050430502742528915
6,-0.8461648225784302,0.16051660478115082,-0.80125892162323,0.05166051536798477
7,-0.8512343764305115,0.19680197536945343,-0.7994497418403625,0.06150061637163162
8,-0.8555495142936707,0.24815498292446136,-0.7966458797454834,0.05904059112071991
9,-0.8591639399528503,0.29274293780326843,-0.7942381501197815,0.06150061637163162
10,-0.8627166152000427,0.3373308777809143,-0.7911146283149719,0.06888069212436676
11,-0.8654880523681641,0.3782287836074829,-0.788269579410553,0.06150061637163162
12,-0.8681411743164062,0.4222017228603363,-0.7882316708564758,0.07011070102453232
13,-0.8705916404724121,0.46586716175079346,-0.7847966551780701,0.07011070102453232
14,-0.8725603818893433,0.4904673993587494,-0.7833364009857178,0.05904059112071991
15,-0.8744403719902039,0.5261377692222595,-0.7808583974838257,0.07380073517560959
16,-0.8760743737220764,0.545510470867157,-0.7789714336395264,0.06888069212436676
17,-0.8777900338172913,0.5624231100082397,-0.7784052491188049,0.06273062527179718
18,-0.8791805505752563,0.5934809446334839,-0.7756893634796143,0.07134070992469788
19,-0.8804609775543213,0.6094710826873779,-0.7762460708618164,0.06273062527179718
